URL,Version,Content Site,Expected Path
"/docs/:version/core/views/create-view","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/views/create-view"
"/docs/:version/core/views/create-view","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/views/create-view"
"/docs/:version/core/views/specify-collation","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/views/specify-collation"
"/docs/:version/core/views/specify-collation","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/views/specify-collation"
"/docs/:version/core/views/update-view","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/views/update-view"
"/docs/:version/core/views/update-view","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/views/update-view"
"/docs/:version/core/views/supported-operations","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/views/supported-operations"
"/docs/:version/core/views/supported-operations","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/views/supported-operations"
"/docs/:version/core/capped-collections/create-capped-collection","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/capped-collections/create-capped-collection"
"/docs/:version/core/capped-collections/create-capped-collection","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/capped-collections/create-capped-collection"
"/docs/:version/core/capped-collections/create-capped-collection","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/capped-collections/create-capped-collection"
